date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:39:00	29339/29339	---M--	200	added ('OK')	image/png	etag:%224ccec295727e993344dc232f8a0cae92%22	https://static.wixstatic.com/media/6972bc_c94a9703726343afad03dcfb8a2005b8~mv2.png/v1/fill/w_452,h_146,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/Screenshot_21.png	/storage/emulated/0/Alarms/bsame/static.wixstatic.com/media/6972bc_c94a9703726343afad03dcfb8a2005b8_mv2.png/v1/fill/w_452,h_146,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/Screenshot_21.png	(from https://basamicar.wixsite.com/transport)
06:39:01	2938/2938	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:39:01%20GMT	https://basamicar.wixsite.com/transport/decodeURIComponent(e	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/decodeURIComponent(e	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:02	2938/2938	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:39:02%20GMT	https://basamicar.wixsite.com/transport/robots.txt	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/robots.txt	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:04	289/289	---M--	200	added ('OK')	text/xml	date:Wed,%2011%20May%202022%2003:39:03%20GMT	https://basamicar.wixsite.com/transport/sitemap.xml	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/sitemap.xml	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:05	2938/2938	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:39:05%20GMT	https://basamicar.wixsite.com/transport/feed.xml	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/feed.20.delayed	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:06	2938/2938	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:39:06%20GMT	https://basamicar.wixsite.com/transport/16e44c05.min.css	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/16e44c05.min.css	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:07	0/0	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:39:06%20GMT	https://basamicar.wixsite.com/transport/version/	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/version/index.html	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:07	2938/2938	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:39:07%20GMT	https://basamicar.wixsite.com/transport/da6c52cb.min.css	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/da6c52cb.min.css	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:08	2938/2938	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:39:09%20GMT	https://basamicar.wixsite.com/transport/5b26625f.min.css	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/5b26625f.min.css	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:10	2938/2938	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:39:10%20GMT	https://basamicar.wixsite.com/transport/fbce49db.min.css	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/fbce49db.min.css	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:11	2938/2938	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:39:11%20GMT	https://basamicar.wixsite.com/transport/1f15f937.min.css	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/1f15f937.min.css	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:12	2938/2938	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:39:12%20GMT	https://basamicar.wixsite.com/transport/3acc863e.min.css	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/3acc863e.min.css	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:13	2938/2938	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:39:13%20GMT	https://basamicar.wixsite.com/transport/8c18f46b.chunk.min.js	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/8c18f46b.chunk.min.js	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:13	2938/2938	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:39:13%20GMT	https://basamicar.wixsite.com/transport/rb_wixui.thunderbolt~bootstrap-classic.29c100d1.chunk.min.js	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/rb_wixui.thunderbolt_bootstrap-classic.29c100d1.chunk.min.js	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:15	2938/2938	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:39:15%20GMT	https://basamicar.wixsite.com/transport/rb_wixui.thunderbolt~common-site-members-dialogs.e6a271c3.chunk.min.css	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/rb_wixui.thunderbolt_common-site-members-dialogs.e6a271c3.chunk.min.css	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:16	2938/2938	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:39:16%20GMT	https://basamicar.wixsite.com/transport/rb_wixui.thunderbolt~common-site-members-dialogs.7a02bfac.chunk.min.js	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/rb_wixui.thunderbolt_common-site-members-dialogs.7a02bfac.chunk.min.js	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:17	2938/2938	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:39:17%20GMT	https://basamicar.wixsite.com/transport/rb_wixui.thunderbolt~bootstrap.5641211f.chunk.min.css	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/rb_wixui.thunderbolt_bootstrap.5641211f.chunk.min.css	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:18	2938/2938	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:39:18%20GMT	https://basamicar.wixsite.com/transport/rb_wixui.thunderbolt~bootstrap.8c18f46b.chunk.min.js	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport/rb_wixui.thunderbolt_bootstrap.8c18f46b.chunk.min.js	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
06:39:19	11414/11414	---M--	200	added ('OK')	image/png	etag:%22896bb97079aff19fbf727465ef452724%22	https://static.wixstatic.com/media/6972bc_8874d73c1274416cb1186d8a950fb8f9~mv2.png/v1/fill/w_160,h_23,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/TSA_logo.png	/storage/emulated/0/Alarms/bsame/static.wixstatic.com/media/6972bc_8874d73c1274416cb1186d8a950fb8f9_mv2.png/v1/fill/w_160,h_23,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/TSA_logo.png	(from https://basamicar.wixsite.com/transport/%d8%aa%d8%b3%d8%ac%d9%8a%d9%84-%d8%b7%d9%84%d8%a8)
